Year,Month,Longitude,Latitude,SST_Celsius,Population,SharkDensity
2022.0,12.0,30.48333,-30.83333,20.7,201851,0.0188679245283018
2022.0,7.0,-80.9828323,29.1760933,23.3,279668,0.0377358490566037
2022.0,7.0,33.8868439,27.0484448,22.5,20076002,0.0
2022.0,1.0,-82.73247233298102,27.529382,16.3,2136468,0.1698113207547169
2021.0,7.0,-80.16071626913461,27.18588305,23.3,279668,0.2452830188679245
2021.0,1.0,140.7004059,-38.0518869,22.1,447692,0.0
2020.0,5.0,-13.662726,29.076505,17.3,232388,0.0
2019.0,7.0,-86.8455342,21.1577882,24.2,22964,0.0566037735849056
2019.0,6.0,153.5878047,-28.7910334,19.3,447692,0.0
2019.0,4.0,-81.3931396,30.2946859,17.8,279668,0.0
2018.0,12.0,-73.60013,41.40537,17.8,5206593,0.0
2018.0,10.0,-80.83783,28.9491539,21.8,279668,0.0377358490566037
2018.0,9.0,136.58688005808932,-13.9805252,22.3,366862,0.0
2018.0,9.0,-88.395939,33.762587,23.3,5206593,0.0
2018.0,4.0,99.98164063084003,12.45357715,24.4,10156316,0.0
2018.0,4.0,-94.936592,29.5696734,17.8,21580827,0.0566037735849056
2017.0,10.0,-64.7155661,47.7053428,11.0,5723,0.0
2017.0,10.0,0.5941406,49.6948768,13.0,10900952,0.0
2017.0,8.0,-69.9614174,41.8910565,23.8,1363159,0.1509433962264151
2017.0,1.0,-34.9033955,-8.1235027,30.1,4469585,0.0
2016.0,7.0,-80.5603303,28.0683496,23.3,279668,0.0377358490566037
2016.0,6.0,-78.6800323,33.8278405,21.8,5206593,0.0
2016.0,3.0,150.85451672257915,-34.65930085,23.0,447692,0.0
2015.0,10.0,-96.077395,32.213296,21.8,21580827,0.0
2015.0,9.0,-81.3931396,30.2946859,23.3,279668,0.0
2015.0,8.0,-79.0430329,33.5499183,23.8,5206593,0.0
2015.0,6.0,18.460134,-34.321106,13.8,4430367,0.0
2015.0,4.0,-80.114479,26.906457,17.8,279668,0.2452830188679245
2015.0,1.0,-79.51973,8.9936,20.8,1783490,0.0
2014.0,8.0,-75.18583328346526,38.14859785,23.8,5206593,0.0
2014.0,7.0,-80.5662467,28.0914926,23.3,279668,0.0377358490566037
2012.0,12.0,-157.809503,21.2556924,18.7,30661,0.2075471698113207
2012.0,7.0,-125.9075155,49.1538091,12.8,1363159,0.0
2012.0,3.0,-2.2006772,47.2722991,8.4,34386,0.0
2011.0,12.0,-117.9501108,33.8528031,11.8,21580827,0.0
2011.0,6.0,-87.42592753140273,30.3180487,21.8,2136468,0.0
2011.0,5.0,-4.8588376,55.9483648,9.2,27171,0.0
2011.0,4.0,14.241523,53.09975,12.0,3552123,0.0
2010.0,9.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2010.0,6.0,-94.81164,29.28592,21.8,21580827,0.0566037735849056
2010.0,2.0,3.681195,50.043186,7.0,2049510,0.0
2010.0,2.0,6.769298,52.294415,7.0,1131690,0.0
2022.0,12.0,72.81433,31.61044,16.4,1061412,0.0
2022.0,6.0,-81.44705548790323,24.664590500000003,21.8,2136468,0.0188679245283018
2022.0,6.0,-123.859932,49.015233,11.3,1363159,0.0
2022.0,4.0,-80.037993,26.6915,17.8,279668,0.1320754716981132
2022.0,2.0,153.1096034,-27.2302079,25.9,447692,0.0566037735849056
2021.0,8.0,-80.236368,27.340924,23.8,279668,0.0
2021.0,4.0,-80.3975399,27.6387163,17.8,279668,0.0
2021.0,2.0,153.1291502608206,-27.692701999999997,25.6,447692,0.0754716981132075
2019.0,4.0,-81.24230475946248,29.738289,17.8,279668,0.0188679245283018
2018.0,11.0,-76.52078513640123,24.2707658,19.8,279668,0.0
2018.0,9.0,-69.9939858892793,41.96148525,23.3,1363159,0.1509433962264151
2018.0,4.0,-79.27330627976312,25.7032538,17.8,279668,0.1698113207547169
2018.0,2.0,145.584528,-38.25656,22.6,447692,0.0
2017.0,7.0,115.7548327,-31.9310469,16.9,281135,0.0
2017.0,6.0,145.017809,-38.47098,16.6,447692,0.0
2017.0,3.0,-80.9271271,29.0258132,16.3,279668,0.0377358490566037
2016.0,9.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2016.0,8.0,-80.9271271,29.0258132,23.8,279668,0.0377358490566037
2015.0,11.0,-80.65060425561052,28.68150735,19.8,279668,0.0377358490566037
2015.0,10.0,-80.65060425561052,28.68150735,21.8,279668,0.0377358490566037
