species,latitude,longitude,year,country,dataset
Carcharodon carcharias,37.702522,-122.500884,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-36.05226,136.72057,2025,Australia,40c0f670-ee87-4576-be9d-2725e0b47035
Carcharodon carcharias,-50.500705,166.279864,2025,New Zealand,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-45.770317,166.498283,2025,New Zealand,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-46.608603,169.376728,2025,New Zealand,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-50.500713,166.27977,2025,New Zealand,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-8.636958,115.500874,2025,Indonesia,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-37.50905,176.113362,2025,New Zealand,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-46.588778,168.062892,2025,New Zealand,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-34.103961,22.143995,2025,South Africa,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-35.224883,136.073633,2025,Australia,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-35.111128,137.496017,2025,Australia,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-34.415029,137.917558,2025,Australia,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,36.970772,-121.92506,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,36.977523,-121.933461,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-35.137933,137.705686,2025,Australia,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,36.971732,-121.926948,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,29.52,-81.68,2025,United States of America,2fba9985-ac30-46cb-99bf-91ccde0d8d2f
Carcharodon carcharias,-34.919774,138.49192,2025,Australia,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,42.689606,-70.450278,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,40.794439,-72.564704,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,44.52273,-63.950657,2025,Canada,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,41.893588,-70.53605,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,-32.713043,152.150663,2025,Australia,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,36.813385,-121.789047,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,36.816994,-121.78828,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,36.910228,-121.921988,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,41.788917,-70.209489,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,44.597774,-64.057034,2025,Canada,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,44.636186,-64.034207,2025,Canada,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,44.636185,-64.034211,2025,Canada,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,33.460743,-118.396723,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,41.787863,-70.083236,2025,United States of America,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Carcharodon carcharias,43.493278,-65.994643,2025,Canada,50c9509d-22c7-4a22-a47d-8c48425ef4a7
