Year,Month,Longitude,Latitude
2020.0,8.0,-99.6473,-11.892
2018.0,2.0,-170.65626,46.9537
2013.0,5.0,-45.918528,-84.756669
2011.0,11.0,132.45175,-72.0435
2012.0,12.0,159.49798261,37.54868378
2012.0,8.0,150.5108806,87.6513723
2018.0,5.0,-132.43466604,-22.7183064
2021.0,7.0,76.0690277861,-8.579550949
2010.0,8.0,-61.8433234935,86.7796892057
2012.0,3.0,-93.49838,75.69237
2015.0,7.0,120.0249955,17.2514578
2018.0,7.0,177.4285430117,56.3153459282
2021.0,6.0,-97.18024434,-25.76897882
2015.0,11.0,-18.9860096625,52.3116168268
2018.0,6.0,47.364884437,53.88971832
2013.0,10.0,75.607382734,73.403158683
2015.0,3.0,-42.511671485,-67.704451859
2014.0,2.0,-57.93697,86.91402
2010.0,9.0,172.865904,-19.359958
2020.0,7.0,-125.88000874,25.05793026
2016.0,9.0,-25.5717873799,69.7230753938
2014.0,2.0,-93.8965335,8.522119
2014.0,6.0,130.0571,53.0993
2012.0,6.0,2.9268,54.2523
2018.0,1.0,73.2011695331,-67.9958182279
2018.0,9.0,171.88334,-33.58399
2019.0,6.0,-172.526202,-89.0549313
2012.0,12.0,-90.911420266,-58.475700979
2015.0,2.0,107.6562745,56.1727242
2013.0,3.0,-48.08281,-37.83748
2010.0,10.0,-3.623159,82.649548
2014.0,5.0,-39.97738559,1.28388063
2021.0,5.0,131.92885806,54.46094784
2015.0,2.0,-91.0605267606,-26.9398940449
2016.0,1.0,145.8143941543,79.1243590672
2019.0,3.0,-147.1949147684,60.5002776616
2017.0,11.0,127.189563,-77.960931
2018.0,11.0,-50.13608,-76.49236
2013.0,8.0,23.50165,-81.877764
2018.0,10.0,114.4339473,85.7049352
2011.0,4.0,59.5948069,32.6650148
2017.0,4.0,-110.7617132,68.1610071
2013.0,2.0,101.8440288,-48.8212167
2019.0,4.0,-17.93902,69.488
2015.0,10.0,36.9742,84.2979
2010.0,6.0,85.456104086,8.407343
2012.0,4.0,-16.84858,87.305713
2021.0,1.0,-176.1908462942,-18.7904424414
2021.0,12.0,152.49004885,65.67867037
2016.0,3.0,154.6561977,-55.5786788
2017.0,3.0,62.631780652,-73.732046765
2012.0,2.0,-115.603,-28.9477
2013.0,6.0,-81.09306857,11.54552172
2012.0,2.0,74.8845,20.5788
2017.0,7.0,-125.4642631671,-0.8436333749
2015.0,7.0,-164.88655,61.14097
2014.0,4.0,-42.036,-66.4651
2014.0,12.0,58.60711369,-17.86356973
2015.0,2.0,136.8681,-10.323
2013.0,9.0,87.44212,3.44174
2015.0,3.0,-84.46598,-69.77655
2016.0,5.0,112.70068979,-34.05399498
2018.0,10.0,133.809990822,79.75144175
2021.0,12.0,129.6316,-31.3707
2011.0,2.0,-171.0592,9.3817
2019.0,2.0,18.2506855,39.6645284
2015.0,5.0,129.09503,36.90686
2019.0,10.0,-99.49744,-45.93799
2014.0,3.0,151.3270462,70.5406587
2020.0,7.0,-106.414356415,-6.745002048
2013.0,8.0,145.1076654,-44.09839829
2010.0,3.0,155.47020328,70.00117573
2010.0,11.0,-165.0365671,22.9882278
2014.0,3.0,-23.942437999,68.768940123
2021.0,9.0,-106.685,71.7081
2018.0,11.0,77.14163173,88.33171016
2012.0,8.0,32.51973,1.86966
2011.0,11.0,-6.2838538751,56.8170320803
2011.0,2.0,121.06004394,-67.32123581
2014.0,5.0,-74.46774287,-59.27140306
2017.0,6.0,137.73978136,36.64044305
