Year,Month,Longitude,Latitude,SST_Celsius,Population
2020.0,8.0,-99.6473,-11.892,19.4,10390607
2018.0,2.0,-170.65626,46.9537,8.9,37468302
2013.0,5.0,-45.918528,-84.756669,8.0,2269
2011.0,11.0,132.45175,-72.0435,9.0,411346
2012.0,12.0,159.49798261,37.54868378,17.8,37468302
2012.0,8.0,150.5108806,87.6513723,7.6,18406
2018.0,5.0,-132.43466604,-22.7183064,20.1,136005
2021.0,7.0,76.0690277861,-8.579550949,21.8,176851
2010.0,8.0,-61.8433234935,86.7796892057,4.9,18406
2012.0,3.0,-93.49838,75.69237,0.7,18406
2015.0,7.0,120.0249955,17.2514578,28.4,13482468
2018.0,7.0,177.4285430117,56.3153459282,10.7,37468302
2021.0,6.0,-97.18024434,-25.76897882,17.2,10390607
2015.0,11.0,-18.9860096625,52.3116168268,10.4,1201426
2018.0,6.0,47.364884437,53.88971832,15.0,12409738
2013.0,10.0,75.607382734,73.403158683,7.2,1068113
2015.0,3.0,-42.511671485,-67.704451859,12.1,2269
2014.0,2.0,-57.93697,86.91402,-1.1,18406
2010.0,9.0,172.865904,-19.359958,20.8,52690
2020.0,7.0,-125.88000874,25.05793026,20.0,21580827
2016.0,9.0,-25.5717873799,69.7230753938,11.5,216364
2014.0,2.0,-93.8965335,8.522119,20.3,2851104
2014.0,6.0,130.0571,53.0993,21.8,3037862
2012.0,6.0,2.9268,54.2523,13.0,1131690
2018.0,1.0,73.2011695331,-67.9958182279,11.1,4430367
2018.0,9.0,171.88334,-33.58399,16.3,411346
2019.0,6.0,-172.526202,-89.0549313,4.0,2269
2012.0,12.0,-90.911420266,-58.475700979,11.6,2269
2015.0,2.0,107.6562745,56.1727242,3.2,1520381
2013.0,3.0,-48.08281,-37.83748,21.1,1736989
2010.0,10.0,-3.623159,82.649548,3.1,216364
2014.0,5.0,-39.97738559,1.28388063,28.7,57506
2021.0,5.0,131.92885806,54.46094784,19.8,3037862
2015.0,2.0,-91.0605267606,-26.9398940449,22.9,6680371
2016.0,1.0,145.8143941543,79.1243590672,2.8,1520381
2019.0,3.0,-147.1949147684,60.5002776616,5.2,18406
2017.0,11.0,127.189563,-77.960931,9.0,411346
2018.0,11.0,-50.13608,-76.49236,8.0,2269
2013.0,8.0,23.50165,-81.877764,3.0,2269
2018.0,10.0,114.4339473,85.7049352,6.2,216364
2011.0,4.0,59.5948069,32.6650148,16.1,810186
2017.0,4.0,-110.7617132,68.1610071,1.6,18406
2013.0,2.0,101.8440288,-48.8212167,19.3,447692
2019.0,4.0,-17.93902,69.488,3.3,216364
2015.0,10.0,36.9742,84.2979,4.8,216364
2010.0,6.0,85.456104086,8.407343,27.6,599821
2012.0,4.0,-16.84858,87.305713,-2.0,216364
2021.0,1.0,-176.1908462942,-18.7904424414,24.8,22904
2021.0,12.0,152.49004885,65.67867037,5.2,1520381
2016.0,3.0,154.6561977,-55.5786788,16.7,411346
2017.0,3.0,62.631780652,-73.732046765,10.5,4430367
2012.0,2.0,-115.603,-28.9477,22.3,136005
2013.0,6.0,-81.09306857,11.54552172,25.4,1783490
2012.0,2.0,74.8845,20.5788,17.7,28513682
2017.0,7.0,-125.4642631671,-0.8436333749,23.2,136005
2015.0,7.0,-164.88655,61.14097,12.2,37468302
2014.0,4.0,-42.036,-66.4651,11.2,2269
2014.0,12.0,58.60711369,-17.86356973,24.6,149365
2015.0,2.0,136.8681,-10.323,31.0,366862
2013.0,9.0,87.44212,3.44174,30.6,599821
2015.0,3.0,-84.46598,-69.77655,6.5,2269
2016.0,5.0,112.70068979,-34.05399498,19.8,281135
2018.0,10.0,133.809990822,79.75144175,8.0,1520381
2021.0,12.0,129.6316,-31.3707,22.7,447692
2011.0,2.0,-171.0592,9.3817,20.3,30661
2019.0,2.0,18.2506855,39.6645284,13.0,475577
2015.0,5.0,129.09503,36.90686,19.8,9963497
2019.0,10.0,-99.49744,-45.93799,11.2,6680371
2014.0,3.0,151.3270462,70.5406587,3.7,1520381
2020.0,7.0,-106.414356415,-6.745002048,21.4,2851104
2013.0,8.0,145.1076654,-44.09839829,12.8,447692
2010.0,3.0,155.47020328,70.00117573,3.7,1520381
2010.0,11.0,-165.0365671,22.9882278,20.1,30661
2014.0,3.0,-23.942437999,68.768940123,4.8,216364
2021.0,9.0,-106.685,71.7081,8.9,18406
2018.0,11.0,77.14163173,88.33171016,1.6,216364
2012.0,8.0,32.51973,1.86966,31.4,2986352
2011.0,11.0,-6.2838538751,56.8170320803,8.9,27171
